Key, Shortcut Name, Shortcut Type
0, table, Feature type change
1, hotspot, Feature type change
2, diode_failure, Feature type change
3, module_failure, Feature type change
4, module_reverse_polarity, Feature type change
5, string_failure, Feature type change
6, string_reverse_polarity, Feature type change
7, potential_induced_degradation, Feature type change
8, dirt, Feature type change
9, vegetation, Feature type change
Return, Save layer changes, QGIS tools
S, Select features, QGIS tools
F, Add new feature, QGIS tools
P, Show attribute table, QGIS tools
E, Turn on layer edit, QGIS tools
Z, Zoom to layer, QGIS tools
D, Duplicate feature, QGIS tools
